Overall,Bib,Name,Time
1,30001,Travis Peruski,01:37:54
2,1,Scott Wietecha,02:34:59
3,4,Jordan Wilson,02:35:24
4,30034,Steelton Flynn,02:39:59
5,30035,Thomas Ellis,02:42:09
6,33172,Nicholas Tseffos,02:48:42
7,30053,Satoshi Mitsumori,02:50:33
8,30051,Harrison Kieffer,02:51:18
9,30086,Steven Forte,02:54:34
10,30042,Grant Rice,02:55:49
11,30049,Andrew Fisher,02:56:05
12,30038,Edgar Garza,02:56:40
13,30094,Wesley King,02:56:58
14,30112,Jake Smith,02:57:38
15,30096,Mark Laprade,02:58:00
16,30142,Scott Roman,02:59:09
17,30054,James Nabholz,02:59:59
18,30056,Kazufumi Seki,03:01:21
19,30084,Nicholas Eulau,03:01:59
20,30045,Mitchell Davis,03:02:18
21,30075,Eddie Bell,03:03:12
22,30039,Montana Klingsporn,03:03:17
23,2,Mathias Osmark,03:04:01
24,30052,Sean Kunis,03:05:22
25,30074,Dylan Beaulieu,03:05:28
